college,cases,LAT,LON
Simpson College,36,41.365503,-93.563471
University of Dubuque,50,42.49726,-90.693428
University of Iowa,2143,41.661935,-91.536425
University of Northern Iowa,202,42.514923,-92.459703
Upper Iowa University,65,42.838283,-91.799543
Wartburg College,69,42.7277,-92.483387
William Penn University,30,41.310111,-92.647095
Allen County Community College,16,37.938038,-95.396377
Baker University,77,38.777278,-95.188231
Benedictine College,114,39.572646,-95.111473
Bethel College,127,38.075169,-97.343256
Butler Community College,95,37.806699,-96.882987
Central Christian College,10,38.357978,-97.668597
Dodge City Community College,13,37.776891,-100.037481
Emporia State University,76,38.414784,-96.179021
Fort Hays State University,292,38.872156,-99.342503
Haskell Indian Nations University,,38.938834,-95.232879
Hesston College,7,38.134558,-97.433883
Hutchinson Community College,21,38.068035,-97.92135
Johnson County Community College,94,38.924125,-94.727798
Kansas State University,888,39.188648,-96.581077
Kansas Wesleyan University,27,38.813795,-97.607973
Labette Community College,5,37.339062,-95.255368
Newman University,29,37.672643,-97.37768
Pittsburg State University,181,37.392071,-94.702473
Southwestern College,57,37.248608,-96.975405
Sterling College,5,38.219937,-98.208644
University of Kansas,1093,38.958549,-95.247567
Washburn University,84,39.033778,-95.702222
Wichita State University,62,37.718882,-97.292361
Alice Lloyd College,75,37.335087,-82.875068
Asbury Theological Seminary,5,37.861561,-84.660127
Asbury University,7,37.862029,-84.662606
Ashland Community and Technical College,4,38.469201,-82.650664
Beckfield College,1,39.017166,-84.641475
Bellarmine University,130,38.219279,-85.704997
Berea College ,7,37.57202,-84.292893
Big Sandy Community and Technical College,5,37.688248,-82.778847
Bluegrass Community and Technical College,114,38.024808,-84.503665
Campbellsville University,35,37.343342,-85.348943
Centre College,22,37.645709,-84.779392
Clear Creek Baptist Bible College,3,36.725236,-83.727702
Eastern Kentucky University,242,37.740845,-84.300796
Elizabethtown Community and Technical College,22,37.692858,-85.879927
Frontier Nursing University,1,37.165605,-83.37937
Galen College of Nursing-Louisville,3,38.277005,-85.695972
Gateway Community and Technical College,7,38.960638,-84.633478
Georgetown College,28,38.207615,-84.553767
Hazard Community and Technical College,7,37.234897,-83.175644
Henderson Community College,21,37.797687,-87.650091
Hopkinsville Community College,13,36.882654,-87.488297
Jefferson Community and Technical College,55,38.246027,-85.753615
Kentucky Christian University,1,38.338805,-82.945561
Kentucky State University,104,38.201427,-84.855402
Kentucky Wesleyan College,21,37.744489,-87.119658
Lexington Healing Arts Academy,1,38.013756,-84.522938
Lexington Theological Seminary,1,37.996332,-84.526079
Lindsey Wilson College,46,37.101502,-85.299997
Madisonville Community College,15,37.362661,-87.512137
Maysville Community and Technical College,5,38.626607,-83.806786
MedQuest College,5,38.224517,-85.560650999999993
Midway University,24,38.146126,-84.678142
Morehead State University,84,38.186768,-83.434021
Murray State University,282,36.612419,-88.323629
